id;Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes;total_amendements;total_mots;short_title;loi_dite;assemblee_id
pjl13-115;projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République italienne pour la réalisation et l'exploitation d'une nouvelle ligne ferroviaire Lyon-Turin;projet de loi;2012-11-28;https://www.senat.fr/dossier-legislatif/pjl13-115.html;promulgué;;;2013-12-03;Loi n° 2013-1089 du 2 décembre 2013;Affaires étrangères et coopération,Transports;0;46128;Ligne ferroviaire Lyon-Turin;;14-ligne_ferroviaire_Lyon-Turin
ppl18-495;proposition de loi Tendant à réduire le nombre de sièges à pourvoir au sein des conseils municipaux des communes de moins de 500 habitants en raison d'un nombre insuffisant de sièges pourvus à la suite d'un deuxième tour de scrutin municipal;proposition de loi;2019-05-14;https://www.senat.fr/dossier-legislatif/ppl18-495.html;;;;;;Pouvoirs publics et Constitution;1;0;Nombre de sièges à pourvoir au sein des conseils municipaux;;
pjl11-353;projet de loi autorisant l'approbation des amendements à l'article 1er et à l'article 18 de l'accord portant création de la Banque européenne pour la reconstruction et le développement;projet de loi;2012-01-25;https://www.senat.fr/dossier-legislatif/pjl11-353.html;promulgué;;;2012-03-08;Loi n° 2012-322 du 7 mars 2012;Affaires étrangères et coopération,Union européenne,Traités et conventions,Économie et finances, fiscalité;0;0;Banque européenne pour la reconstruction et le développement;;13-amendements_accord_creation_BERD
15-promotion_impression_tickets_caisse_demande;Promotion de l'impression des tickets de caisse à la demande;proposition de loi;2019-07-16;http://www.assemblee-nationale.fr/dyn/15/dossiers/promotion_impression_tickets_caisse_demande;;;;;;;0;0;Promotion de l'impression des tickets de caisse à la demande;;15-promotion_impression_tickets_caisse_demande
pjl12-260;projet de loi portant diverses dispositions en matière d'infrastructures et de services de transports;projet de loi;2013-01-03;https://www.senat.fr/dossier-legislatif/pjl12-260.html;promulgué;conforme;2013-05-23;2013-05-29;Loi n° 2013-431 du 28 mai 2013;Transports;360;364821;Transports;;14-infrastructures_services_transports
pjl11-251;projet de loi fixant au 11 novembre la commémoration de tous les morts pour la France;projet de loi;2011-12-14;https://www.senat.fr/dossier-legislatif/pjl11-251.html;promulgué;;;2012-02-29;Loi n° 2012-273 du 28 février 2012;Société,Anciens combattants;9;15185;Commémoration du 11 novembre;;13-commemoration_morts_france_11_novembre
pjl08-192;projet de loi autorisant la ratification des protocoles au traité de l'Atlantique Nord sur l'accession de la République d'Albanie et de la République de Croatie;projet de loi;2008-11-26;https://www.senat.fr/dossier-legislatif/pjl08-192.html;promulgué;;;2009-02-17;Loi n° 2009-175 du 16 février 2009;Affaires étrangères et coopération,Traités et conventions;0;0;OTAN;;13-atlantique_nord_albanie_croatie
pjl08-348;projet de loi autorisant l'approbation de l'accord entre la France et la Croatie relatif à la coopération en matière de sécurité intérieure;projet de loi;2008-09-10;https://www.senat.fr/dossier-legislatif/pjl08-348.html;promulgué;;;2009-06-19;Loi n° 2009-711 du 18 juin 2009;Affaires étrangères et coopération,Police et sécurité,Union européenne,Traités et conventions;0;0;Croatie;;13-croatie_cooperation
pjl19-373;projet de loi organique relatif au système universel de retraite;projet de loi;2020-01-24;https://www.senat.fr/dossier-legislatif/pjl19-373.html;;;;;;Société,Questions sociales et santé,Travail;407;0;Système universel de retraite (PJLO) (texte organique);;15-systeme_universel_retraite
15-fonds_indemnisation_victimes_chlordecone_paraquat;Fonds d'indemnisation des victimes du chlordécone et du paraquat en Guadeloupe et Martinique;proposition de loi;2018-12-19;http://www.assemblee-nationale.fr/dyn/15/dossiers/fonds_indemnisation_victimes_chlordecone_paraquat;;;;;;;16;0;Fonds d'indemnisation des victimes du chlordécone et du paraquat en Guadeloupe et Martinique;;15-fonds_indemnisation_victimes_chlordecone_paraquat
ppl18-541;proposition de loi visant à préserver environ 3 000 emplois;proposition de loi;2019-06-03;https://www.senat.fr/dossier-legislatif/ppl18-541.html;;;;;;Environnement,Entreprises;0;0;Préserver environ 3 000 emplois;;
ppl14-375;proposition de loi visant à la réouverture exceptionnelle des délais d'inscription sur les listes électorales;proposition de loi;2015-03-04;https://www.senat.fr/dossier-legislatif/ppl14-375.html;promulgué;;;2015-07-14;Loi n° 2015-852 du 13 juillet 2015;Pouvoirs publics et Constitution;20;63818;Délais d'inscription sur les listes électorales;;14-reouverture_inscription_listes_electorales
pjl08-297;projet de loi de finances rectificative pour 2009;projet de loi;2009-03-04;https://www.senat.fr/dossier-legislatif/pjl08-297.html;promulgué;;;2009-04-22;Loi n° 2009-431 du 20 avril 2009;Budget;227;198449;Budget;;13-deuxieme_collectif_2009
15-reglement_budget_2020;Loi de règlement 2020;projet de loi;2021-04-14;http://www.assemblee-nationale.fr/dyn/15/dossiers/reglement_budget_2020;;;;;;;12;0;Loi de règlement 2020;;15-reglement_budget_2020
15-modernisation_gestion_fp;Proposition de loi organique relative à la modernisation de la gestion des finances publiques;proposition de loi;2021-05-04;http://www.assemblee-nationale.fr/dyn/15/dossiers/modernisation_gestion_fp;;;;;;;0;0;Proposition de loi organique relative à la modernisation de la gestion des finances publiques;;15-modernisation_gestion_fp
